,index,artist,title,mood,lyrics
10,10,The Proclaimers,I'm On My Way,happy,im on my way from misery to happiness today ah hah ah hah ah hah ah hah im on my way from misery to happiness today ah hah ah hah ah hah ah hah im on my way to what i want from this world and years from now youll make it to the next world and everything that you receive up yonder is what you gave to me the day i wandered i took a right i took a right turning yesterday ah hah ah hah ah hah ah hah yeah i took a right i took a right turning yesterday yeah yeah yeah yeah i took the road that brought me to your home town i took the bus to streets that i could walk down i walked the streets to find the one id looked for i climbed the stair that led me to your front door and now that i dont want for anything ooh id have al jolson sing im sitting on top of the world ill do my best ill do my best to do the best i can ah hah ah hah ah hah ah hah yeah ill do my best ill do my best to do the best i can ah hah ah hah ah hah ah hah to keep my feet from jumping from the ground dear to keep my heart from jumping through my mouth dear to keep the past the past and not the present to try and learn when you teach me a lesson and now that i dont want for anything ooh id have al jolson sing im sitting on top of the world im on my way from misery to happiness today ah hah ah hah ah hah ah hah yeah im on my way from misery to happiness today yeah yeah yeah yeah im on my way to what i want from this world and years from now youll make it to the next world and everything that you receive up yonder is what you gave to me the day i wandered im on my way to what i want from this world and years from now youll make it to the next world and everything that you receive up yonder is what you gave to me the day i wandered im on my way im on my way im on my way im on my way im on my way im on my way im on my way im on my way
11,11,50 Cent,My Gun Go Off,angry,nigga my gun go off minus zero you see the barrel turning you feel the hollows burning nigga now youre learning nigga my gun go off minus zero call it attempted murder nigga im trying to murk you when i come back busting nigga my gun go off minus zero dont try to say im tripping when i get to flipping and i smack the clip in nigga my gun go off minus zero we call it putting work in leaving niggas hurting homicides lurking nigga my gun go off fuckboy you can see it to believe it try to dodge and weave it end up a paraplegic believe me its easy ill hurt you ill murk you ill pop something drop something i aint going to stop hunting run run til youre spun one shot one gun one nine hundred and eleven emergency its murder b its excellent execution when im pulling the trigger no mistake for that cake im hitting you and your niggas feel the flame when i aim for the top of your brain zero nigga my gun go off minus zero you see the barrel turning you feel the hollows burning nigga now youre learning nigga my gun go off minus zero call it attempted murder nigga im trying to murk you when i come back busting nigga my gun go off minus zero dont try to say im tripping when i get to flipping and i smack the clip in nigga my gun go off minus zero we call it putting work in leaving niggas hurting homicides lurking nigga my gun go off you better lose yourself in the moment use it fuck the music imma let it go you only get one shot before i back out and fire back at your hat your back your ass crack your nutsack your cadillac if you make it to that im hitting that the seventy was smack the eighty crack the ninety was grimy millennium macs man clips on the whips i ride in them bad bitches i ride in them dont worry ill get them gats jammed or unjammed god damn safest the safety dont work squeeze the eagle it chirps end up faced down in the dirt more than hurt bring the beef where you hang out bang out shots ring out hit your shoulders trying to blow your brains out hit your homies in their legs bet they have their canes out tomorrow you know tomorrows just a day away if you can keep your heart beating then your ass awake nigga my gun go off minus zero you see the barrel turning you feel the hollows burning nigga now youre learning nigga my gun go off minus zero call it attempted murder nigga im trying to murk you when i come back busting nigga my gun go off minus zero dont try to say im tripping when i get to flipping and i smack the clip in nigga my gun go off minus zero we call it putting work in leaving niggas hurting homicides lurking nigga my gun go off
12,12,Collie Buddz,Mamacita,happy,man tend a next shot of tequila the vibes tonight yeah so sweet yah i man spot this sweet senorita we a bounce to the bass and di tweeter she look muy bonita the way she move remind me of selena she rock so she dip so she wanna dance to reggae and calypso look how the dress hug up pon her hips so look how she move fast and a do it slow muy bonita mamacita gal whine let me come behind yuh eh me make she feel alright woulda dance all night if yuh want to eh till a mornin light love how you feel in front a me so gal let me hold you tight look deh a pure death in the arena number one gal prima ballerina little girl how u fi come in here she nuh drink only smoke sensimilla she look muy bonita you nuh see it that a my mona lisa
13,13,Avenged Sevenfold,Coming Home,angry,ive been away searching for a reason another purpose to find ive sailed the seas fought my many demons ive looked to gods in the skies ive stood in hell where many had to suffer i stared the devil in the eyes walked many roads to witness ancient idols and found the great gates of fire had many storms question my conviction gave armies reason to rise the hangmans searching for bones he can borrow while i escaped in the night fight or flight live again all roads end ill be coming home tend your light cause on this night ill be coming home escaped the hail of calculated mortars then drank the blood of a king the desert rain has washed away direction had angels looking after me so it seems zero live again all roads end ill be coming home tend your light cause on this night ill be coming home my story ends not far from where it started my weary limbs have grown old ive seen the world through the eyes of a nomad home is where the heart is ive been told so i go live again all roads end ill be coming home tend your light cause on this night ill be coming home im coming home im coming home im coming home im coming home
14,14,Avril Lavigne,How Does It Feel,sad,im not afraid of anything i just need to know that i can breathe i dont need much of anything but suddenly suddenly i am small and the world is big all around me is fast moving surrounded by so many things suddenly suddenly how does it feel to be different from me are we the same how does it feel to be different from me are we the same how does it feel i am young and i am free but i get tired and i get weak i get lost and i cant sleep i cant sleep but suddenly suddenly how does it feel to be to be different from me are we the same how does it feel to be to be different from me are we the same how does it feel would you comfort me would you cry with me ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah i am small and the world is big but im not afraid of anything how does it feel to be to be different from me are we the same how does it feel to be to be different from me are we the same how does it feel to be to be different from me are we the same how does it feel to be to be different from me are we the same ah ah ah ah ah ah ah ah ah ah ah ah ah ah how does it feel how does it feel youre different from me different how does it feel how does it feel youre different from me different how does it feel how does it feel youre different from me different how does it feel how does it feel youre different from me
15,15,Demon Hunter,The Tide Began To Rise,sad,i dont belong here i never saw this on the path i walk the blood stained walls the lines of chalk on the floor its getting so hard i never saw the backlash when the tide began to rise i cant remember the way it was when everything felt right my mouth held shut and eyes sealed tight with control so i remember on the inside i found a dark infernal place i dont want to face any more somehow i wont stop feeding the pain my hearts just the same as before i found a dark infernal place i dont want to face any more and somehow so now im stuck here between the guilty and the insincere the words ive spoke have left me here all alone i should have known this i never saw the backlash when the tide began to rise i wish it all gone i could have burned it when i had that choice now id die to kill this noise in my head so i remember on the inside i found a dark infernal place i dont want to face any more somehow i wont stop feeding the pain my hearts just the same as before i found a dark infernal place i dont want to face any more and somehow so i remember on the inside the inside if this is all the love my spirit can give there is not a reason more to live if this is all the love my spirit can give just take it back tonight there is not a reason more to live if this is all the love my spirit can give just take it back tonight there is not a reason more to live if this is all the love my spirit can give just take it back tonight there is not a reason more to live if this is all the love my spirit can give just take it back tonight there is not a reason more to live if this is all the love my spirit can give just take it back tonight there is not a reason more to live if this is all the love my spirit can give just take it back tonight there is not a reason more to live if this is all the love my spirit can give just take it back tonight there is not a reason more to live
16,16,Lily Holbrook,Better Left Unsaid,sad,you can cut my heart in sections and ill show you no objection cause its better than being alone its better than being alone and theres a strange elation in your subtle assassination i thought i saw a glimmer of hope i thought i saw a glimmer of hope but i dont think that you could ever understand and the rain keeps falling down i dont think that you could ever understand and the rain keeps falling down i dont think that you could ever understand and the rain keeps falling down i dont think that you could ever understand and the rain keeps falling down i could stay here in the middle and speak to you in riddles but id rather just feel the burn id rather feel the burn so you can strike me with your matches and scatter me like ashes your little angel playing in your dirt but i dont think that you could ever understand and the rain keeps falling down i dont think that you could ever understand and the rain keeps falling down i dont think that you could ever understand and the rain keeps falling down i dont think that you could ever understand and the rain keeps falling down some things i keep to myself some things are better left unsaid and sometimes i feel like this could break me in half still some things ill never ever tell but i dont think that you could ever understand and the rain keeps falling down i dont think that you could ever understand and the rain keeps falling down i dont think that you could ever understand and the rain keeps falling down i dont think that you could ever understand and the rain keeps falling down and i will let you chain me down for a while and i will let you wear my crown for a while
17,17,Creed,Illusion,angry,the sun rises to another day my constitution keeps changing till it slips away so i lie awake and stare my mind thinking just wondering does anybody care should i stay or go should i sleep or stay awake am i really happy or is it all just an illusion sitting in my room now hiding thoughts just hoping one day ill get out i hear a voice call my name breaking trance so silent so i can stay the same should i stay or go should i sleep or stay awake am i really happy or is it all just an illusion wait now many things are left unsaid this life remains the same but i change i try to fool myself in believing things are going to get better but life goes on should i stay or go should i sleep or stay awake am i really happy or is it all just an illusion just an illusion just an illusion just an illusion just an illusion just an illusion
18,18,The Whitest Boy Alive,Don't Give Up,relaxed,give me a reason to stay constantly ignored give me an angle that i havent tried before a guarantee for being honestly compaired you want to live when life is achingly unfair dont make a move youll look ridiculous again we share no interest but its easy to pretend dont start the action it will turn against you soon no one is going to follow and youll stand there like a fool you left the people when the people left you out back in the suburbs youre craving for the crowd only minded now with defeats of yesterday the mantra spinning in your head will keep it raised give me a reason to stay constantly ignored i dont think i can give me an angle that i havent tried before not from where i stand a guarantee for being honestly compaired could not be found you want to live when life is achingly unfair stick around dont give up dont give up dont give up
19,19,Opeth,By the Pain I See in Others,sad,let me taste let me feel i need to know what you keep inside no need to speak just let it be carry out this wish for me let nothing interfere rise to submission im still beneath in the soil discard your clothes let loose your hair were intertwined forever and have always been say the word and ill depart upon your lips dwells nothing but the meaning of my cause rise to submission im still beneath in the soil and so comes the dark vibrant as ever before flowers already withered in this endless winter of souls outside in the park the days move along and nothing ever changes they have nothing on us and weve always knew that nothing ever changes rise to submission im still beneath in the soil this is ours alone feeding off the warmth lured out from the inside depending on the life blood rise to submission im still beneath in the soil this is ours alone feeding off the warmth lured out from the inside silently whispering move in me and set me free htaed otni yaw eht dael won resolc peels rof gnol gnivael dna yawa gnidaf tuohtiw od nac i tahw em gniwohs thgil laerehte raeppasid dna edaf sruoloc ecnart gnihtoos
20,20,Salt The Wound,Better Than This,angry,ive shed these tears a hundred times the bottles are broken my well runs dry all these painful words make this much harder you have no place here ive left and so should you should you these chains that bound me from this place tonight is the last night you will see my face left alone ive wandered in this place all night this has to be the only way to make this right surely if i fell from these these chains that bound me from this place tonight is the last night you will see my face left alone ive wandered in this place all night this has to be the only way to make this right surely if i fell from these ive held these tears a hundred times the bottles are full and its my time to shine would you believe me if i told you it was my time to die ive wished for this all night so show yourself i will fight i will fight come at me with everything with everything youre made of come at with everything youve got come at me with everything with everything youre made of come at with everything youve got all my life ive waited for the day when i could just drive and get away from this place i need to get away from this place i know that i am better than this i know that i am better than this
21,21,Iron Maiden,Aces High,angry,there goes the siren that warns of the air raid then comes the sound of the guns sending flak out for the scramble weve got to get airborne got to get up for the coming attack jump in the cockpit and start up the engines remove all the wheel blocks theres no time to waste gathering speed as we head down the runway got to get airborne before its too late running scrambling flying rolling turning diving going in again running scrambling flying rolling turning diving run live to fly fly to live do or die wont you run live to fly fly to live aces high zero move in to fire at the mainstream of bombers let off a sharp burst and then turn away roll over spin round to come in behind them move to their blindsides and firing again bandits at eight oclock move in behind us ten one hundred and nine out of the sun ascending and turning our spitfires to face them heading straight for them i press down my guns rolling turning diving rolling turning diving doing it again rolling turning diving rolling turning diving run live to fly fly to live do or die wont you run live to fly fly to live aces high
22,22,Norah Jones,The Prettiest Thing,relaxed,the prettiest thing i ever did see was lightning from the top of a cloud moving through the dark a million miles an hour with somewhere to be so why does it seem like a picture thats hangin up on someone elses wall lately i just havent been myself at all its heavy on my mind and im dreamin again like ive always been way down low i still know that the prettiest thing i ever did see was dusty as the handle on the door rusty as a nail stuck in the old pine floor it looks like home to me now im dreamin again like ive always been way down low thinkin of the prettiest thing dreamin dreamin
23,23,Lamb,Written,relaxed,the wind stands still around you and suddenly im trembling and i dont know why theres something deep about you that echoes in my mind mystifying feelings running round in my brain love is all around me and its written in your name love is all around me and its written in your name the wind stands still around you and in your eyes the light inside you shines if souls collide in heaven why not in present time words just cant convey it silence means no need to explain love is all around me and its written in your name love is all around me and its written in your name i am overcome what a strange thing you have done from now on my life has change nothing now can be the same love is all around me love is all around me and its written in your name love is all around me and its written in your name
24,24,Mastodon,Megalodon,angry,myth or legend nymph tale washed ashore near the kraken sleepeth stirs coral and bone infinite city no sexy sneer hideous creation human and animal banter songs of rudeness to be adhered not on rocks that glisten harps to listen comb hair tear right to pieces left to recess a watery grave sensing the blood of prey swimming in fear for life rolling over falling into jaws teeth that chatter it distracts them all the fiji mermaid she will let it know time is coming to feed and gnaw rolling over falling into jaws teeth that chatter it distracts them all the fiji mermaid she will let it know time is coming to feed and gnaw
25,25,Natalie Walker,No One Else,relaxed,butterflies gravity pulls me into anticipate our first touch sweet and so new lets figure out how to make this forever oh this is making me crazy hey love i am at the point of no restraint lets just make a move and feel the earth quake its just you and me and no one else its just you and me you and me slowly now we shouldnt let this go too fast bring me out of this shell take off my mask this is us intertwined and on fire i cannot stop im consumed with desire
26,26,Stephen Lynch,Country Love Song,happy,i made love to ya all night long then i got up to write you a song i watched ya sleep and i fell in love ya mustve been sent from heaven above dont think you could never do no wrong then you farted oh girl you farted first i thought that it was kinda cute i suppressed a smile when i heard your girly poot then came the smell came whoftin by and brought a little tear drop to my eye i think that ill go sleep out on the couch cause you farted you could make milk curdle make your skin crawl make the paint peal off of the wall i wont sleep under the covers no more since the hot winds blew from out your back door baby it sure has been a gas but i cant live life in fear of your ass so i gathered up my clothes and old dog bill moved back to my house at the top of the hill well old boy i guess its just you and me then he farted
27,27,Stereophonics,Bright Red Star,sad,mary is my bright red star she caught the train to work in the morning when she got up and then shed call me up just to wake me up but shes alright shes alright mary is my bright red star she likes to look at the pink sky just before the day turns dark and then shed call me up just to wind me up but shes alright shes alright mary is my bright red star she wears a hat in the sun pink nails and her bleach blond locks and then shed call me up so we could meet up but she is alright shes alright mary is my bright red star we just talk into the night about nothing in particular and then shed hang me up until shed wake me up but shes alright shes alright shes alright shes alright
28,28,Bad Manners,Can Can,happy,lip up fatty ah lip up fatty for the reggae lip up fatty ah lip up fatty for the reggae listen to the music shuffle up your feet listen to the music of the fatty beat moving with the rhythm sweating with the heat moving with the rhythm of the fatty beat lip up fatty ah lip up fatty for the reggae trumpeet listen to the music shuffle up your feet listen to the music of the fatty beat lip up fatty ah lip up fatty for the reggae trumpeet lip up fatty ah lip up fatty for the reggae don t call me fat man lip up fatty ah lip up fatty for the reggae fat man don t like you
29,29,Hollywood Undead,Young,angry,we are young but we have heart born in this world as it all falls apart we are strong but we dont belong born in this world as it all falls apart i see the children in the rain like the parade before the pain i see the love i see the hate i see this world that we can make i see the life i see the sky id give it all to see you fly yes we wave this flag of hatred but youre the ones who made it i watch the beauty of all our lives passing right before my eyes i hear the hate in all your words all the words to make us hurt we get so sick were so sick we never wanted all this medication for the kids with no reason to live so we march to the drums of the damned as we come watch it burn in the sun we are numb we are young but we have heart born in this world as it all falls apart we are strong but we dont belong born in this world as it all falls apart as we walk among these shadows in these streets these fields of battle take it up we wear the mantle raise your hands with burning candles hear us whisper in the dark in the rain you see the spark feel the beating of our hearts fleeting hope as we depart all together walk alone against all weve ever known all weve ever really wanted was a place to call our home but you take all we are the innocence of our hearts made to kneel before the altar as you tear us apart so we march to the drums of the damned as we come watch it burn in the sun we are numb we are young but we have heart born in this world as it all falls apart we are strong but we dont belong born in this world as it all falls apart we will fight we will fight or we will fall we will fall till the angels save us all we will fight we will fight or we will fall we will fall till the angels save us all we will fight we will fight or we will fall we will fall till the angels save us all we will fight we will fight or we will fall we will fall till the angels save us all we are young but we have heart born in this world as it all falls apart we are strong but we dont belong born in this world as it all falls apart we are young but we have heart born in this world as it all falls apart we are strong but we dont belong born in this world as it all falls apart
30,30,Hooverphonic,The Magnificent Tree,relaxed,bought this guitar at a shop called mars but on the way back home strange things happened in my car started to play all by itself creatures jumped from the highest shelf until i touched string twelve this magnificent tree appeared in my mind even without leaves its strength was divine synthesized gnomes penetrated this godly zone summer was thrown off its royal throne this magnificent tree appeared in my mind even without leaves its strength was divine
31,31,Working for a Nuclear Free City,Quiet Place,relaxed,cross the lines down shifting lights catch its breath a stream of life the tallest trees stretch to the sea and to the edge where shadows meet a quiet place and natures way a season comes and whispers life still born again into golden dreams a hiding place beneath blue skies cross the lines down shifting lights catch its breath a stream of life the tallest trees stretch to the sea and to the edge where shadows meet
32,32,Bruce Springsteen,Atlantic City,sad,well they blew up the chicken man in philly last night now they blew up his house too down on the boardwalk theyre getting ready for a fight gonna see what them racket boys can do now theres trouble busing in from out of state and the d a cant get no relief gonna be a rumble out on the promenade and the gambling commissions hanging on by the skin of its teeth well now everything dies baby thats a fact but maybe everything that dies someday comes back put your makeup on fix your hair up pretty and meet me tonight in atlantic city well i got a job and tried to put my money away but i got debts that no honest man can pay so i drew what i had from the central trust and i bought us two tickets on that coast city bus well baby everything dies thats a fact but maybe everything that dies someday comes back put your makeup on fix your hair up pretty and meet me tonight in atlantic city now our luck may have died and our love may be cold but with you forever ill stay were going out where the sands turning to gold put on your stockings baby cause the nights getting cold and everything dies baby thats a fact but maybe everything that dies someday comes back now i been looking for a job but its hard to find down here its just winners and losers and dont get caught on the wrong side of that line well im tired of coming out on the losing end so honey last night i met this guy and im gonna do a little favor for him well i guess everything dies baby thats a fact but maybe everything that dies someday comes back put your makeup on fix your hair up pretty and meet me tonight in atlantic city meet me tonight in atlantic city meet me tonight in atlantic city meet me tonight in atlantic city
33,33,Tom Lehrer,We Will All Go Together When We Go,happy,when you attend a funeral it is sad to think that sooner or l minus zero those you love will do the same for you and you may have thought it tragic not to mention other adjec minus zero to think of all the weeping they will do but dont you worry no more ashes no more sackcloth and an armband made of black cloth will some day nevermore adorn a sleeve for if the bomb that drops on you gets your friends and neighbors too therell be nobody left behind to grieve and we will all go together when we go what a comforting fact that is to know universal bereavement minus zero an inspiring achievement yes we all will go together when we go we will all go together when we go all suffused with an incandescent glow no one will have the endurance to collect on his insurance lloyds of london will be loaded when they go oh we will all fry together when we fry well be french fried potatoes by and by there will be no more misery when the world is our rotisserie yes we all will fry together when we fry down by the old maelstrom therell be a storm before the calm and we will all bake together when we bake therell be nobody present at the wake with complete participation in that grand incineration nearly three billion hunks of well done steak oh we will all char together when we char and let there be no moaning of the bar just sing out a te deum when you see that icbm and the party will be come as you are oh we will all burn together when we burn therell be no need to stand and wait your turn when its time for the fallout and saint peter calls us all out well just drop our agendas and adjourn you will all go directly to your respective valhallas go directly do not pass go do not collect two hundred dollars and we will all go together when we go every hottentot and every eskimo when the air becomes uraneous we will all go simultaneous yes we all will go together when we all go together yes we all will go together when we go
34,34,Helena Bonham Carter & Johnny Depp,Poor Thing,sad,youve a room over the shop here times is so hard why dont you rent it out people think its zero point haunted zero point and whos to say theyre wrong you see years ago something happened up zero point something not very zero point sung there was a barber and his wife and he was beautiful a proper artist with a knife but they transported him for life and he was beautiful spoken barker his name zero point benjamin zero point what was his crime foolishness sung he had this wife you see pretty little thing silly little nit had her chance for the moon on a string poor thing poor thing there was this judge you see wanted her like mad every day he sent her a flower but did she come down from her tower sat up there and sobbed by the hour poor fool but there was worse yet to come poor thing well beadle calls on her all polite poor thing poor thing the judge he tells her is all contrite he blames himself for her dreadful plight she must come straight to his house tonight poor thing poor thing of course when she goes there poor thing poor thing theyre having this ball all in masks theres no one she knows there poor dear poor thing she wanders tormented and drinks poor thing the judge has repented she thinks poor thing oh where is judge turpin she asks he was there all right only not so contrite she wasnt no match for such craft you see and everyone thought it so droll they figured she had to be daft you see so all of them stood there and laughed you see poor soul poor thing no would no one have mercy on her so it is zero point benjamin barker no not zero point that man is zero point its todd zero point sweeney zero point and he will have his zero point
35,35,Megadeth,The World Needs a Hero,angry,an iron fist quietly sits inside the velvet glove take control untouchable just like god above i cant escape wrapped in red tape what will become of me if i object then i defect my country tis of thee the white house is calling tell em ill call them back just tell em anything yeah get em off my back the world needs a hero not that i would ever lie but i have no choice words i say heard today are not mine just my voice nato is on line one they wanna talk to me tell em that im not in tell em that im not free the world needs a hero the world needs a hero phantom rule the hidden jewel whos really in control on puppet strings a nation swings undermined by moles the un is on hold tell em ill call em back yeah tell em anything just get em off my back the world needs a hero the world needs a hero dave the white house is calling they wanna talk to me tell em that i cant be bought tell em that im not free the world needs a hero ha yeah the world needs a hero the world needs a hero the world needs a hero ive got to got to got to find a hero the world needs a hero ohh ahh ohh
