,lyrics,mood_cats
2390,hello mate alright yeah im alright for once in my life ive got somethin to say i wanna say it now for now is today life has been given to grab and enjoy so lets all grab and lets all enjoy if the kids are united they will never be divided if the kids are united they will never be divided just take a look around you what do you see kids with feelings like you and me understand him and hell understand you for you are him and he is you if the kids are united they will never be divided if the kids are united they will never be divided if the kids are united they will never be divided if the kids are united they will never be divided i dont wanna be rejected i dont wanna be denied and its not my misfortune that ive opened up your eyes freedom is given speak how you feel i have no freedom how do you feel they can lie to my face but not to my heart if we stand together it will just be the start if the kids are united they will never be divided if the kids are united they will never be divided if the kids are united they will never be divided if the kids are united they will never be divided,3
2062,so ill dance all night to the music in my kitchen play the songs over again dancing till were on the floor breathing and breathless nothing will wake us e cept the song in the morning ive just remembered everyone ive ever loved every song ive ever sung everyone whos made me smile and now what i wanna know is what do i do now so ill dance all night to the music in my kitchen play the songs over again dancing till were on the floor breathing and breathless nothing will wake us e cept the song in the morning,1
2954,when he comes bursting through that door my heart leaps and hits the floor calling himself louis quatorze he s so young and dangerous oh i love it when he says so seriously with his gun in my back honey close your eyes and think of england just for a second it s his genuine act as a matter of fact louis was horrible to me he tears down my defenses he pretends that i m against him louis louis louis did love me louis quatorze made love to me come back again don t tell me when louis quatorze always surprise me fourteen s all he ll ever be i don t know how long it lasts but one thing s for sure louis quatorze knows how to love me amour amour amour amour louis quatorze loves me some more he does what he does cause aware louis s gonna shoot me louis louis s locking my door louis s serious i m delirious n er plays fair just doesn t care louis quatorze starts to undress me with his gun in my back i start to undress you just don t mess with louis quatorze he s my partner in this crime of happiness louis louis cause i m just fourteen oh i love it when he says so seriously with his gun in my back honey make love to me louis louis louis did love me louis quatorze made love to me come back again don t tell me when louis quatorze always surprise me louis louis louis did love me louis quatorze made love to me come back again don t tell me when louis quatorze always surprise me louis quatorze i love you,0
1804,take it back take it all back now the things i gave like the taste of my kiss on your lips i miss that now i cant try any harder than i do all the reasons i gave e cuses i made for you im broken in two all the things left undiscovered leave me empty and left to wonder i need you all the things left undiscovered leave me waiting and left to wonder i need you yeah i need you dont walk away touch me now how i want to feel something so real please remind me my love take me back cause im so in love with what we were im not breathing im suffocating without you do you feel it too all the things left undiscovered leave me waiting and left to wonder i need you all the things left undiscovered leave me empty and left to wonder i need you yeah i need you when im in the dark and all alone dreaming that youll walk right through my door its then i know my heart is whole theres a million reasons why i cry hold my covers tight and close my eyes cause i dont wanna be alone all the things left undiscovered leave me waiting and left to wonder i need you all the things left undiscovered leave me empty and left to wonder i need you i need you cause i cant fake and i cant hate but its my heart thats about to break youre all i need im on my knees watch me bleed would you listen please i give in i breathe out i want you theres no doubt i freak out im left out without you im without im crossed out im kicked out i cry out i reach out dont walk away dont walk away dont walk away dont walk away,2
154,i let the beast in too soon i dont know how to live without my hand on his throat i fight him always and still oh darling its so sweet you think you know how crazy how crazy i am you say you dont spook easy you wont go but i know and i pray that you will fast as you can baby run free yourself of me fast as you can i may be soft in your palm but ill soon grow hungry for a fight and i will not let you win my pretty mouth will frame the phrases that will disprove your faith in man so if you catch me trying to find my way into your heart from under your skin fast as you can baby scratch me out free yourself fast as you can fast as you can baby scratch me out free yourself fast as you can sometimes my mind dont shake and shift but most of the time it does and i get to the place where im begging for a lift or ill drown in the wonders and the was and ill be your girl if you say its a gift and you give me some more of your drugs yeah ill be your pet if you just tell me its a gift cause im tired of whys choking on whys just need a little because because i let the beast in and then i even tried forgiving him but its too soon so ill fight again again again again again and for a little while more ill soar the uneven wind complain and blame the sterile land but if youre getting any bright ideas quiet dear im blooming within fast as you can baby wait watch me ill be out fast as i can maybe late but at least about fast as you can leave me let this thing run its route fast as you can fast as you can fast as you can fast as you can,0
2049,we sample from the shelves tore a page out from this chapter deface the essays in the book that youre reading we are the leeches that stop the bleeding deficit attention program by any means necessary blare sirens to the library whisper instructions to the book wormed glossary is it heavier than air tell us is the black box lying is it heavier than air tell us is the black box lying aeronautics hacked the spine of a paragraph prepare to indent a coma that read floating in a soundproof costume here comes the monolith brass knuckles for the hissy fit an abbreviation for the landing of fleets in in in incomin is it heavier than air tell us is the black box lying is it heavier than air tell us is the black box lying am i supposed to die alone am i supposed to die alone position the stitches like miles of torpedoes permission was hinted lungs that hollered in a sleeper hold am i supposed to die alone am i supposed to die alone is it heavier than air am i supposed to die alone is it heavier than air is it heavier than air am i supposed to die alone is it heavier than air come on run c c c come on go oh oh oh position the stitches like miles of torpedoes permission was hinted lungs that hollered in a sleeper hold am i supposed to die alone position the stitches like miles of torpedoes,3
3699,lights out i still hear the rain these images that fill my head now keep my fingers from making mistakes tell my voice what it takes to speak up speak up and keep my conscience clean when i wake dont make this easy i want you to mean it jasey say you mean it youre dressed to kill im calling you out dont waste your time on me now theres an aching in my back a stabbing pain that says i lack the common sense and confidence to bring an end to promises that i make in times of desperate conversation hoping my night could be better than theirs in the end just say when dont make this easy i want you to mean it jasey say you mean it youre dressed to kill im calling you out dont waste your time on me ive never told a lie and that makes me a liar ive never made a bet but we gamble with desire ive never lit a match with intent to start a fire but recently the flames are getting out of control call me a name kill me with words forget about me its what i deserve i was your chance to get out of this town but i ditched the car and left you to wait outside i hope the air will serve to remind you that my heart is as cold as the clouds of your breath and my words are as timed as the beating in my chest,0
2845,i wont dance dont ask me i wont dance dont ask me i wont dance miss you with you my heart wont let my feet do things that they should do you know what youre handsome you know what too handsome but oh what you do to me im like an ocean wave thats bumped on the shore i feel so absolutely stumped on the floor when you dance youre charming and youre gentle specially when you do the continental but this feeling isnt purely mental for heaven rest us i am not asbestos and thats why i wont dance why should i i wont dance how could i i wont dance merci beau coup i know that music leads the way to romance so if i hold you in my arms i wont dance when you dance youre charming and youre gentle specially when you do the continental but this feeling isnt purely mental for heaven rest us i am not asbestos and thats why which means when im in your arms i wont dance,2
4040,the orange was the size of a watermelon to me well at least that is my memory sunshine made my bare feet burn upon the road far away wed roam id be howlin out a song in the back seat the boys would laugh and tease about my black feet theyd tell stories that would warm my soul motorbikes and chrome jimmy could not wait to get home homebird sing fly me high on an angels wing homebird sing leave out nothing tell me everything everywhere we went just looked the same to me the skys were blue and the grass was green i wonder how different i might see them now yet i see them somehow through the fallen memories when that angel baby sings oh the little magic that his solo brings making up songs and words and singin from the soul oh the stories told none but him and jimmy could know homebird sing fly me high on an angels wing homebird sing leave out nothing tell me everything homebird sing fly me high on an angels wing homebird sing leave out nothing tell me everything,2
1654,ive held it all inward god knows ive tried but its an awful awakening in a country boys life to look in the mirror in total surprise at the hair on my shoulders and the age in my eyes amanda light of my life fate should have made you a gentlemans wife amanda light of my life fate should have made you a gentlemans wife its a measure of people who dont understand the pleasures of life in a hillbilly band i got my first guitar when i was fourteen well i finally made forty still wearing jeans amanda light of my life fate should have made you a gentlemans wife amanda light of my life fate should have made you a gentlemans wife,1
1826,well wake up your mothers well start a commotion well take you apart well swallow the ocean and just when youve labeled us one of your types well fly our flag right up up out of your sky so puff out your chest in some weird dusty fight were taking no part in your cracked antique life were believing everything that we have heard were taking our turn with the kids that dont learn you know im going to take my turn let us be free let us sing songs along the bottoms of barrels let us be free let us be free let us sing songs along the bottoms of barrels let us be free so out come you clowns all you wolves all you martyrs you holy rat rattlers holy found fathers were selling ourselves so ourselves we can find were living at night trying to pull out the light well turn up the heat as we burn up you boxes well loosen our wrists as we fill in your foxholes youve got your bad apples to ruin your bunch were all right here so you better eat up oh yeah theres nothing you can do let us be free let us sing songs along the bottoms of barrels let us be free let us be free let us sing songs along the bottoms of barrels let us be free if you want me here you can have me here if you want me now you can have me now if you want me down i will get really low you better believe ill be down by your shoes if you want it all you can have it all if you want some more come and get some more cause the dirt feels good when youre underground you better believe that were all getting down you know that us feral kids love straying about so start giving in yeah you better get down let us be free let us sing songs along the bottoms of barrels let us be free let us be free let us sing songs along the bottoms of barrels let us be free let us be free let us be free let us be free let us be free,0
541,never took a scene check never were a reject always looking perfect now you arent so instep never took a scene check never were a reject always looking perfect now you arent so instep instep instep instep you had your photograph in a magazine such a pretty boy only nineteen but now youre twenty three and its all gone now you aint all that you wanna be somehow maybe it was only a dream you just thought you could be anything that you wanted to be sadly it all went wrong so never took a scene check never were a reject always looking perfect now you arent so instep never took a scene check never were a reject always looking perfect now you arent so instep instep instep instep still just go to the same old clubs but the new kids have got one above music tastes change like the wind youre doing now whats already been and you still think that youre so it cause you know so and so and you made a hit but you cant hear it being played cause you my friend have had your day never took a scene check never were a reject always looking perfect now you arent so instep never took a scene check never were a reject always looking perfect now you arent so instep never took a scene check no you arent so in step no you arent so never took a scene check now you arent so instep now you so never took a scene check never were a reject always looking perfect now you arent so instep never took a scene check never were a reject always looking perfect now you arent so instep never took a scene check never were a reject always looking perfect now you arent so instep never took a scene check never were a reject always looking perfect now you arent so instep now you so now you so now you so cause you never took a scene check,0
3885,they decorated all the generals who fought the war behind the lines they had forgotten all the soldiers the brandy puts them way behind the times insanity has found its way to tv screens vision seems impossible to me they fight for king and country i never would have thought this in my wildest dreams wildest dreams wildest dreams wildest dreams when evening comes we sit and watch the veejays clips and rushes come from who knows where from washington across to california with fighting breaking out in leicester square we see the soldiers moving on to victory and children trampled under marching feet they fight for king and country how many millions will they put to sleep wildest dreams wildest dreams wildest dreams wildest dreams fly away no not in this world no not in the ne t no not in my wildest dreams they recommended euthanasia for non conformists anywhere some mens dreams for others turn to nightmares this never would have happened in their wildest dreams wildest dreams wildest dreams wildest dreams fly away no not in this world no not in the ne t no not in my wildest dreams,3
2774,well give that girl my very best though it never made the grade if it seems that its just not enough to love then love lie down and would you tell her not to talk as if i died though a tiny part just did and would you tell her im from a long line of survivors and ill be swinging with the kids keep your sympathy dont need the healing to start youve gone gone and made a beautiful hole in my heart in the corner of the room in the room we used to love of the love we should say this there were switches never flicked long away and far apart thats how forest fires start start again it felt like this fresh and simple as a kiss i bounce these feelings off the moon the echoes dont come back keep your sympathy dont need the healing to start youve gone gone and made a beautiful hole in my heart of the love we should say this there were there were switches never flicked keep your sympathy dont need the healing to start youve gone gone and made a beautiful hole in my heart keep your sympathy dont need the healing to start youve gone gone and made a beautiful hole in my heart,2
635,come now and dare to be straight with me ill share i might even be straight with you go on now shed some skin so i can get a good look in and ill find out what makes you tick all its here cause youre here and im here and i feel this is where its gonna get most interesting wont you tell me something tell me tell me something true wont you tell me something tell me tell me something true wont you tell me something tell me something true wont you tell me something i know youve got your secrets well ive got some too no need to tell me everything id also like to keep a few too sweet to be shy now since weve broken down down everything that can be broke oh is your story getting old well weve been spending some time and what a lovely time its been wont you tell me something tell me tell me something true wont you tell me something oh tell me something true wont you tell me something tell me something true wont you tell me something tell me tell me something true im not sure what you want from me nor what i want from you some tales i cant quite believe even though id like to sea stories youve been spinning free you got my curiosity down someone elses memory lane oh a little bit too strange well weve been spending some time and what a lovely time its been wont you tell me something tell me tell me something true wont you tell me something tell me something true wont you tell me something id like to hear something wont you tell me something cause id like to get to know you,2
2480,i see the world its going round seems to me its upside down looking for something to say i feel a little different anyway yeah yeah yeah yeah does it make much sense to you doin all those things you do makin sure that im alright yeah im fine ive been feeling im goin down down down i see the world its going round seems to me its upside down looking for something to say ive been feeling im goin down down yeah yeah yeah yeah ive been feeling ive been feeling ive been feeling im goin down down down,3
444,wiped out in the city slick another sick rock n roller acting like a dick needing cash burning through the trash that piles up in this place and fills up behind my empty face full of things that i m not to do you come over with all of your friends and all their opinions i don t want to know and i m looking over my shoulder booking away with nowhere to go i run down to the corner lot it s forty five past two i almost forgot to show got a date to make with mr so and so after which i won t care when you all start to bitch and moan about being alone you come over with all of your friends and all their opinions i don t want to know and i m looking over my shoulder booking away with nowhere to go well can t you just leave me alone you ve already thrown all the sticks and stones you had to send my way well can t you just leave it at that and spare us both the bother because i just bounce back anyway i got nothing that i want to do more than make another sonic fuck you to play whenever you make my life cliche so to fit in some little bo with the all the labeled shit you would say to keep confusion away you come over with all of your friends and all their opinions i don t want to know and i m looking over my shoulder booking away with nowhere to go you come over with all of your friends and all their opinions i don t want to know and i m looking over my shoulder booking away,2
1662,dont cry dont cry oh no oh no chorus i never wanna see you crying over me you know thats not the way that its supposed to be oh no no no no no you gotta be strong never wanna see you crying over me you know thats not the way that its supposed to be oh no oh no no no no you gotta be strong oh my love verse i know ive hurt you more than once once twice three times treating your love like i dont response time in deed caught up on me trapped in your tears please set me free i plea maybe i took this life for granted making you feel like your not wanted ego got the best of me chasing every beautyfull woman i see in the end whats my reward i brought unhappyness in a mi yard oh lord chorus i never wanna see you crying over me you know thats not the way that its supposed to be oh no no no no no no no no never wanna see you crying over me you know thats not the way that its supposed to be oh no no no no no dry your weaping eyes oh my love verse and this may sound just like a drama inside me theres a constant fire burning my soul saying oh what a liar youve hurt her so much times hurt her no longer but im a really true believer in love trying my best to make it work show my a man who doesnt cheat nor flirt in this world boys will be attracted to girls chorus i never wanna see you crying over me you know thats not the way that its supposed to be oh no no no no no you gotta be strong i never wanna see you crying over me you know thats not the way that its supposed to be oh no no no no no no no no oh my love repeat verse repeat,0
979,if i could hold you you know i would if the whole world would just stop turning and be real still i said i d meet you after midnight i know i never did return a lot of promises were broken i never kept to my word crawling on my knees for you for you it feels like some saturday cartoon oh yeah if i could tell ya yeah the way that i feel would you believe enough in magic and carnival wheels life is never say you re sorry love is never make mistakes life is telling me the answer if i can t believe the rain i meant to tell you i m sorry for all the hurt and senseless pain i need to tell you i m sorry for all the love we never got to make calling me back to the room on the hill say that the lie cant be right if i could hold you you know i would if my whole world would just stop turning and be real still i said i d meet you after midnight i know i never did return a lot of promises were broken i never kept to my word i need to tell you i m sorry for everything that we ve been through i need to tell you i m sorry for all the love i never gave back to you i m sorry i m sorry crawling on my knees for you i m sorry i m sorry i m sorry i m sorry feels like some saturday cartoon,2
2919,embarrassed to be alive sit with my life open wide your stare is forcing my face open a leper crumbling never joking who should i believe safest to wallow in my own esteem afraid stick my neck out knowing the day has drawn im a leper scared beyond this feeling i dare to escape a leper doomed to this my life is chosen to rape embarrassed to be alive sit with my life open wide your stare is forcing my face open a leper crumbling never joking im a leper scared beyond this feeling i dare to escape a leper doomed to this my life is chosen to rape im a leper leper leper,3
2865,is this your life jackie brown poorly educated and forced to live on the poor side of town is this your daughter jackie brown this pretty little girl in the worn out clothes that have been hand me down is this your wife jackie brown with sad blue eyes walking on eggshells so you dont see her frown is this your family jackie brown dream of vacationing on a mountain stream and giving the world more than it gave you what ugly truths freedom brings and it hasnt been very kind to you is this your life jackie brown is this your meal jackie brown barely enough ive seen people throw away more than this out is this your home jackie brown this three room shack with no running water and the bathroom out back is this your grave jackie brown this little piece of limestone that says another desperate man took himself out is this your dream jackie brown going nowhere and nowhere fast we shame ourselves to watch people like this live but who gives a damn about jackie brown just another lazy man who couldnt take what was his one helluva life jackie brown forevermore jackie brown amen and amen jackie brown,0
3144,go gonna be a liar lie to me gonna be a liar lie to me gonna be a liar lie to me gonna be a liar lie to me yeah gonna be a liar lie to me gonna be a liar lie to me gonna be a liar lie to me gonna be a liar lie to me gonna be a while lie to me gonna be a while lie to me gonna be a while lie to me gonna be a while lie to me lie to me lie to me lie to me lie to me lie to me lie to me,3
3994,denial waits its here to claim me now as i crawl down to hell for a chance that youll come around and lay down tonight but im left telling myself that everything will be alright run away from the way that you love me with no regrets just walk away dont wanna hear that youre sorry from words unsaid so stay away i know you wanna destroy me and fade away cause i know if i just closed my eyes ill still see your lips saying everything will be alright if i saw you right now im embarrassed to say id take you back and we could just pretend you never went away run away from the way that you love me with no regrets just walk away dont wanna hear that youre sorry from words unsaid so stay away i know you wanna destroy me just save your breath cause i know denial waits its here to claim you now denial waits its here to claim you now run away from the way that you love me with no regrets just walk away dont wanna hear that youre sorry from words unsaid denial waits denial waits,1
436,come closer now i know your desire is to be desired steal a kiss yeah and call us friends distance is a thief in which you conspire time and time and time will tell time will tell or tear us apart youre miles and miles and miles away silence reveals where you really are you only stand to break my heart i can tell it by the way you run away runaway girl you only stayed to break my heart i can tell it by the way you run away runaway girl runaway runaway girl its clearer now youre nowhere into giving giving into giving into me its your fault youre like a rare disease i know youre in love with love i believe time and time and time will tell time will tell or tear us apart youre miles and miles and miles away silence reveals where we really are you only stayed to break my heart i can tell it by the way you run away runaway girl you only stayed to break my heart i can tell it by the way you run away runaway girl run away runaway girl do you e pect me to wait here all alone in my thoughts and fears my whole life could flash before your eyes hope one day that you realize this isnt the way its supposed to be this is your life girl now without me may regrets for us well up inside as feelings for you are buried alive buried alive you only stand to break my heart i can tell it by the way you run away runaway girl you only stand to break my heart i can tell it by the way you run away runaway girl run away runaway girl i only stand to break your heart you can tell it by the way i walk away runaway girl i only stand to break your heart you can tell it by the way i run away runaway girl,3
296,im watching your shadow cut by the moon peaceful i wait for the dawn these moments in silence are all that i need the softness of hearing you breathe and i know it doesnt get better than this funny it starts with just one little kiss baby all i know youre no longer alone weve started a home of our own love all my love is yours youre no longer alone weve started a home of our own love your ups and your downs powers and fears your presence fulfils my desire youre all that ive wished for youre more than i need youre right where i wanna be oh no i dont ask questions or try to e plain telling myself it just happens this way baby all i know youre no longer alone weve started a home of our own love all my love is yours youre no longer alone weve started a home of our own love i dont ask questions or try to e plain telling myself it just happens this way baby all i know youre no longer alone weve started a home of our own love all my love is yours youre no longer alone baby all i know youre no longer alone weve started a home of our own love all my love is yours youre no longer alone baby all i know youre no longer alone baby all i know youre no longer alone weve started a home of our own love,0
500,my mind is clear my place is here ill stand my ground ill never leave im not a puppet on a string stand up for yourself stand up for your life make your own path follow your heart i dont need someone to guide me through my life i dont need someone to see things through my eyes although the goals i have are out of sight i have to find them myself this is my own fight please leave it alone you are not my clone we have different goals and skills unknown and i would like to discover my own stand up for yourself stand up for your life make your own path follow your heart,0
871,paralyzed by ancient delight and riding for a fall today i am dressed in style so eager in mind but furthermore distracted by you and its like i lose myself in dreaming of summer days in bloom oh ive got no clue how i could fight that all that i am is worth a dime worth a dime this liquid lunch will not stop my punch drunk quality to doze while i run it is thirty nine degrees in my mind its thirty thousand miles more to go cause its like i lose myself in dreaming of summer days in bloom for ive got no clue whatever happened all that i am is worth a dime worth a dime,2
4056,his spit is worth more than her work pass the purse to the pugilists hes a prize fighter and he bought rings and he owns kin and now hes swinging and now hes the champion hey revolver dont mothers make good fathers revolver hey revolver dont mothers make good fathers revolver a spotless domain hides festering hopes shes certain theres more pictures of fields without fences a spotless domain hides festering hopes shes certain theres more pictures of fields without fences her body numbs as he approaches the door as he approaches the door as he approaches the door as he approaches the door as he approaches hey revolver dont mothers make good fathers revolver hey revolver dont mothers make good fathers revolver hey revolver dont mothers make good fathers revolver hey revolver dont mothers make good fathers revolver yeah hey revolver dont mothers make good fathers revolver hey revolver dont mothers make good fathers revolver revolver revolver revolver revolver,3
3449,its the feel of your blood as it flows smoothly down my skin intoxicating my soul immortality seducing me burning in your own hell which now binds you to me infinitely spirits of angels dont weep for you enticing me vanity blood left for you to drink eternity waits for you vanity blood left for you to drink eternity waits for you to drink frozen in time is the ice flowing in your veins are you insane at your mercy they suffered while you sat there painless vile and shameless crowned you are now for the merciless sins its the end your beauty through order is where blood flows through you where it begins vanity blood left for you to drink eternity waits for you vanity blood left for you to drink eternity waits for you to drink young life stripped of all its dignity sliced flesh pours out its youthfulness my lust will never be fully quenched your screams tell me that youre not prepared to die creature from hell why cant you see the things i see mirror tells me that you were always meant for me you are my sacrifice blood is the deficit biting the flesh the face my sick prelude now meet your frozen death god did not do this god did not do this god did not do this god did not do this heated iron bar i will insert inside your cunt mistress of cruelty a name that will not die you are my sacrifice blood is the deficit bathing in blood your heart your soul your god it all belongs to me god belongs to me god belongs to me god belongs to me it all belongs to me murder is my birthright the bloodline proves aristocracy walled in left for dead your actions show your hypocrisy my birthright is murder my birthright is murder birthright murder birthright murder birthright murder birthright murder,3
3446,im sorry two words i always think after youre gone when i realize i was acting all wrong so selfish two words that could describe oh actions of mine when patience is in short supply we dont need to say goodbye we dont need to fight and cry oh we we could hold each other tight tonight were so helpless were slaves to our impulses were afraid of our emotions and no one knows where the shore is were divided by the oceans and the only thing i know is that the answer isnt for us no the answer isnt for us im sorry two words i always think oh after youre gone when i realize i was acting all wrong we dont need to say goodbye we dont need to fight and cry and we we could we could hold each other tight tonight tonight tonight tonight,2
1239,when i listen to my stereo all i hear is a funky flow it really makes me lose control bomfunk mcs in stereo in stereo in stereo all i hear is a funky flow it really makes me lose control bomfunk mcs in stereo but how right but how right but how right cannot hide it cant deny it its so obvious you hope to hide it like a pilot you get a mic boombo blasting like a siren roar youre a mighty lion roar when pumping the iron roar one million strong roar turn it up come on but how right but how right but how right ow but how right but how right when i listen to my stereo all i hear is a funky flow it really makes me lose control bomfunk mcs in stereo in stereo in stereo all i hear is a funky flow it really makes me lose control bomfunk mcs in stereo but how right but how right but how right star supremo with the ill flow got you yearning turning reckless you dont understand but you still wanna check this one to two to two to one techniques busting the funk freaking the funk eating the funk making it funk loving the funk falling to funk yeah so whats up punk but how right but how right but how right but how right but how right when i listen to my stereo all i hear is a funky flow it really makes me lose control bomfunk mcs in stereo in stereo in stereo all i hear is a funky flow it really makes me lose control bomfunk mcs in stereo but how right but how right but how right but how right stereo funky flow lose control stereo stereo funky flow lose control stereo,0
