,index,artist,title,mood,lyrics

Ghosts of the dead! have I not heard your yelling
Rise on the night-rolling breast of the blast, . . .
is the merest ineptitude, since these verses are taken almost word for word from ""Lachin y Gair"" in Byron's Hours of Idleness, and that had been published some four years previously.[23]

As I have elsewhere shown in some detail, Shelley's two juvenile romances owe not only their inspiration but a great deal of their phrasing and noctivagations to Charlotte Dacre's Zofloya: or The Moor, which appeared in 1806, and which, as the poet himself declares ""quite enraptured"" him.[24] It is a very remarkable circumstance that in spite of the extremely plain hint which might profitably have been taken from such poems as Die Braut von Korinth and Lenore the novelists of the Gothic school, soaked though they were in German literature, searching the earth and the depths of the earth for thrills and sensation of every kind, do not seem to have utilized the tradition of the Vampire. It is a puzzle indeed if we ask how it was that such writers as Monk Lewis, ""Apollo's sexton,"" who would fain ""make Parnassus a churchyard"";[25] and Charles Robert Maturin who, as he himself confessed, loved bells rung by viewless hands, daggers encrusted with long shed blood, treacherous doors behind still more treacherous tapestry, mad nuns, apparitions,[26] et hoc genus omne; the two lords of macabre romance, should neither of them have sent some hideous vampire ghost ravening through their sepulchral pages. In the Gothic romance we have horror heaped on horror's head; mouldering abbeys, haunted castles, banditti, illuminati, sorcerers, conspirators, murderous monks and phantom friars, apparitions without number until the despairing reviewers cried aloud: ""Surely the misses themselves must be tired of so many stories of ghosts and murders."" We have such titles as the famous Horrid Mysteries; The Midnight Groan; The Abbot of Montserrat, or, The Pool of Blood; The Demon of Venice; The Convent Spectre; The Hag of the Mountains;[27] and a hundred such lurid nomenclatures, but until we come to Polidori's novel which will be considered later, nowhere, so far as I am aware, do we meet with the Vampire in the realm of Gothic fancy. So vast, however, is this fascinating library and so difficult to procure are these novels of a century and a quarter ago that I hesitate sweepingly to assert that this theme was entirely unexploited. There may be some romance which I have not had the good fortune to find where a hideous vampire swoops down upon his victims, but if such be the case I am at least prepared to say that the Vampire was not generally known to Gothic lore, and had his presence made itself felt in the sombre chapters of one votary of this school I think he would have re-appeared on many occasions, for the writers were as accustomed to convey from one another with an easy assurance, as they were wont deftly to plunder the foreign mines. Inevitably one of the band, T. J. Horseley Carties, Francis Lathom, William Herbert, Edward Montague, Mrs. Roche, Eliza Parsons, Miss M. Hamilton, Mrs. Helme, Mrs. Meeke, Isabella Kelley, and many another beside insatiably agog for horrid phantasmagoria would have utilized the Vampire in some funereal episode.

One might even have supposed that the notes to Southey's Thalaba the Destroyer,[28] must have put them on the track, and surely stanzas eight, nine and ten in Book VIII could not have passed unnoticed:

A night of darkness and of storms!
Into the Chamber of the Tomb
Thalaba led the Old Man,
To roof him from the rain.
A night of storms! the wind
Swept through the moonless sky,
And moan'd among the pillar'd sepulchres;
And in the pauses if its sweep
They heard the heavy rain
Beat on the monument above.
In silence on Oneiza's grave
Her father and her husband sate.
The Cryer from the Minaret
Proclaim'd the midnight hour.
""Now, now!"" cried Thalaba;
And o'er the chamber of the tomb
There spread a lurid gleam,
Like the reflection of a sulphur fire
And in that hideous light
Oneiza stood before them. It was She . . .
Her very lineaments. . . . and such as death
Had changed them, livid cheeks and lips of blue;
But in her eye there dwelt
Brightness more terrible
Than all the loathsomeness of death.
""Still art thou living, wretch? ""
In hollow tones she cried to Thalaba;
""And must I nightly leave my grave
To tell thee, still in vain,
God hath abandoned thee?
""This is not she!"" the Old Man exclaim'd;
""A Fiend; a manifest Fiend!""
And to the youth he held his lance;
""Strike and deliver thyself!""
""Strike HER!"" cried Thalaba,
And palsied of all power,
Gazed fixedly upon the dreadful form.
""Yea, strike her!"" cried a voice, whose tones
Flow'd with such a sudden healing through his soul,
As when the desert shower
From death deliver'd him;
But obedient to that well-known voice,
His eye was seeking it,
When Moath, firm of heart,
Perform 'd the bidding: through the vampire corpse
He thrust his lance; it fell,
And howling with the wound,
Its fiendish tenant fled.
A sapphire light fell on them,
And garmented with glory, in their sight
Oneiza's spirit stood.

It is important to remark that in his notes[29] upon this passage Southey cites at considerable length various cases of vampirism, particularly from the Lettres Juives, the Vampires of Gradisch, also the history of Arnold Paul, and the very ample account given by Tournefort. He further says: ""The Turks have an opinion that men that are buried have a sort of life in their graves. If any man makes affidavit before a judge, that he heard a noise in a man's grave, he [i.e., the body] is, by order, dug up and chopped all too pieces. The merchants (at Constantinople) once airing on horseback, had, as usual, for protection, a Janisary with them. Passing by the burying place of the Jews, it happened that an old Jew sat by a sepulchre. The Janisary rode up to him, and rated him for stinking the world a second time, and commanded him to get into his grave again--Roger North's Life of Sir Dudley North.""[30]

It might perhaps not unfairly be argued that the two notorious romances of the Marquis de Sade Justine, on les Malheurs de la Vertu and Juliette depict scenes of vampirism, and if we are to take the word in any extended sense this is certainly the case. In the first place it must be remembered that as it passed through various editions-it was first issued in 1791, 2 vols., 8vo,--until it appeared in its final and complete form in 1797 as La Nouvelle Justine, on les Malheurs de la Vertu, suivie de l'Histoire de Juliette, sa soeur, 10 vols., 18mo (of which Justine occupies four and Juliette six) Justine was added to and augmented until the last version is practically double the length of the first, and the book has been entirely re-written. In Justine we have the episodes in the house of Monsieur Rodin, and more particularly the orgies of the Comte de Gernade who takes a lustful pleasure in watching the blood flow from the veins of his victims, as also the cruelties of the monster Roland all of which. may well be esteemed vampirism. Many similar scenes are described with great prolixity in Juliette, and this romance is distinguished by such horrible figures as the Muscovite giant Minski, whose favourite meat is human flesh, and in whose castle the table and chairs are made of bleaching bones, and Cordelli, the necrophilist of Ancona.

In The New Monthly Magazine,[31] 1 April, 1819, was published The Vampyre: a Tale by Lord Byron, which although it may seem to us--steeped in Le Fanu and M. R. James--a little old-fashioned, at the time created an immense sensation and had the most extraordinary influence, being even more admired and imitated on the Continent than in England. It was almost immediately known that actually the story did not come from the pen of Lord Byron, but had been written by Dr. John William Polidori, physician-companion to the poet. Byron had, as a matter of fact, been writing a work of the same title in imitation of Mrs. Shelley's Frankenstein, but he denied the authorship of this piece in the famous letter facsimilied in Galignani's edition of his works. A first printed, The Vampyre forms a part of extracts from ""A letter from Geneva, with Anecdotes of Lord Byron."" Here is to be read that ""among other things which the lady, from whom I procured these anecdotes, related to me, she mentioned the outline of a ghost story by Lord Byron. It appears that one evening Lord Byron, Mr. p. B. Shelley, the two ladies and the gentleman (the daughters of Godwin and Dr. Polidori) before alluded to after having perused a German work, which was entitled Phantasmagoriana[32] began relating ghost stories; when his lordship having recited the beginning of Christabel, then unpublished, the whole took so strong a hold of Mr. Shelley's mind, that he suddenly started up and ran out of the room. The physician and Lord Byron followed, and discovered him leaning against a mantlepiece with cold drops of perspiration trickling down his face. After having given him something to refresh him, upon enquiring into the cause of his alarm, they found that his wild imagination having pictured to him the bosom of one of the ladies with eyes (which was reported of a lady in the neighbourhood where he lived) he was obliged to leave the room in order to destroy the impression. It was afterwards proposed in the course of conversation, that each of the company present should write a tale depending upon some supernatural agency, which was undertaken by Lord Byron, the physician, and Miss M. Godwin. My friend, the lady above referred to, had in her possession the outline of each of these stories, I obtained them as a great favour, and herewith forward them to you, as I was assured you would feel as much curiosity as myself, to peruse the ébauches of so great a genius, and those immediately under his influence."" Upon this the Editor has the following note: ""We have in our possession the Tale of Dr. ------ as well as the outline of that of Miss Godwin. The latter has already appeared under the title of 'Frankenstein, or the modern Prometheus'; the former, however, upon consulting this author, we may, probably, hereafter give to our readers.""

The Vampyre is introduced by several paragraphs which deal with the tradition. This preamble commences: ""The superstition upon which this tale is founded is very general in the East. Among the Arabians it appears to be common; it did not, however, extend itself to the Greeks until after the establishment of Christianity; and it has only assumed its present form since the division of the Latin and Greek churches; at which time, the idea becoming prevalent, that a Latin body could not corrupt if buried in their territory, it gradually increased, and formed the subject of many wonderful stories, still extant, of the dead rising from their graves, and feeding upon the blood of the young and beautiful. In the West it spread, with some slight variation, all over Hungary, Poland, Austria, and Lorraine, where the belief existed, that vampyres nightly imbibed a certain portion of the blood of their victims, who became emaciated, lost their strength, and speedily died of consumptions; whilst these human bloodsuckers fattened--and their veins became distended to such a state of repletion as to cause the blood to flow from all the passages of their bodies, and even from the very pores of their skins.""

The Editor then recounts the famous instance of Arnold Paul, and continues: ""We have related this monstrous rodomontade, because it seems better adapted to illustrate the subject of the present observations than any other instance we could adduce. In many parts of Greece it is considered as a sort of punishment after death, for some heinous crime committed whilst in existence, that the deceased is doomed to vampyrise, but be compelled to confine his visitations solely to those beings he loved most while on earth-those to whom he was bound by ties of kindred and affection. This supposition is, we imagine, alluded to in the following fearfully sublime and prophetic curse from the 'Giaour.'[32]

But first on earth, as Vampyre sent,
Thy corse shall from its tomb be rent;
Then ghastly haunt thy native place,
And suck the blood of all thy race;
There from thy daughter, sister, wife, p. 283
At midnight drain the stream of life;
Yet loathe the banquet, which perforce
Must feed thy livid living corse,
Thy victims, ere they yet expire,
Shall know the demon for their sire;
As cursing thee, thou cursing them,
Thy flowers are withered on the stem.
But one that for thy crime must fall,
The youngest, best beloved of all,
Shall bless thee with a father's name--
That word shall wrap thy heart in flame!
Yet thou must end thy task and mark
Her check's last tinge--her eye's last spark,
And the last glassy glance must view
Which freezes o'er its lifeless blue;
Then with unhallowed hand shall tear
The tresses of her yellow hair,
Of which, in life a lock when shorn
Affection's fondest pledge was worn--
But now is borne away by thee
Memorial o thine agony!
Yet with thine own best blood shall drip
Thy gnashing tooth, and haggard lip;
Then stalking to thy sullen grave
Go--and with Ghouls and Afrits rave,
Till these in horror shrink away
From spectre more accursed than they.""

After an allusion to Southey's Thalaba, Tournefort's Travels, and Dom Calmet's classical work, the editor concludes: ""We could add many curious and interesting notices on this singularly horrible superstition, and we may, perhaps, resume our observations upon it at some future opportunity; for the present, we feel that we have very far exceeded the limits of a note, necessarily devoted to the explanation of the strange production to which we now invite the attention of our readers; and we shall therefore conclude by merely remarking, that though the term Vampyre is the one in most general acceptation, there are several other synonimous with it, which are made use of in various parts of the world, namely, Vroucolocha, Vardoulacha, Goul, Broucoloka, &c.""

The story tells how at the height of a London season there appeared at the various parties of the leaders of the ton a nobleman, more remarkable for his singularities, than his rank. He gazed upon the mirth around him, as if he could not participate therein. Apparently, the light laughter of the fair only attracted his attention that he might by a look quell it, and throw fear into those breasts where thoughtlessness reigned. Those who felt this sensation of awe, could not explain whence it arose; some attributed it to the dead grey eye, which fixing upon the object's face, did not seem to penetrate, and at one glance to pierce through to the inward working of the heart; but fell upon the cheek with a leaden ray that weighed upon the skin it could not pass."" This original is invited to every house, and in the course of the winter he meets ""a young gentleman of the name of Aubrey"" he was an orphan left with an only sister in the possession of great wealth, by parents who died while he was yet in childhood."" Aubrey is greatly fascinated by Lord Ruthven, for this is the name of the mysterious nobleman, and intending to travel upon the Continent he mentions this intention to my Lord, and is ""surprised to receive from him a proposal to join him. Flattered by such a mark of esteem from him who, apparently, had nothing in common with other men, he gladly accepted it, and in a few days they had passed the circling waters.""

As they travelled from town to town, Aubrey notices the peculiar conduct of his companion who bestows largess upon the most worthless characters, broken gamblers and the like, but refuses a doit to the deserving and virtuous poor. However the recipients of this charity ""inevitably found that there was a curse upon it, for they all were either led to the scaffold or sunk to the lowest and the most abject misery."" Eventually the travellers arrive at Rome, and here Aubrey receives letters from his guardians who require him immediately to leave his companion as since their departure from London the most terrible scandals, adulteries and seductions, have come to light. At Rome Aubrey is able to foil Lord Ruthven's plans, frustrating an intrigue designed to ruin a heedless young girl, and then he ""directed his steps towards Greece, and, crossing the Peninsula, soon found himself at Athens."" Here he lodges in the house of a Greek, whose daughter Ianthe is a paragon of the most exquisite beauty. As he sketches the ruins of the city she is wont to entertain him with Greek legend and tradition, and ""often, as she told him the tale of the living vampyre, who had passed years amidst his friends, and dearest ties, forced every year, by feeding upon the life of a lovely female to prolong his existence for the ensuing months, his blood would run cold, whilst he attempted to laugh her out of such idle and horrible fantasies; but Ianthe cited to him the names of old men, who had at last detected one living among themselves, after several of their relatives and children had been found marked with the stamp of the fiend's appetite; and when she found him so incredulous, she begged of him to believe her, for it had been remarked, that those who had dared to question their existence, always had some proof given, which obliged them, with grief and heart-breaking to confess it was true. She detailed to him the traditional appearance of these monsters, and his horror was increased, by hearing a pretty accurate description of Lord Ruthven; he, however, still persisted in persuading her, that there could be no truth in her fears, though at the same time he wondered at the many coincidences which had all tended to excite a belief in the supernatural power of Lord Ruthven.""

Before long it becomes evident that Aubrey is in love with Ianthe, ""and while he ridicules the idea of a young man of English habits, marrying an uneducated Greek girl, still he found himself more and more attached to the almost fairy form before him."" He endeavours to occupy his time with antiquarian excursions which lead him farther and farther afield, and at length he determines to proceed to a point beyond any he has as yet visited. When Ianthe's parents hear the name of the place he proposes to visit they most earnestly implore him on no account to return when once dusk has fallen, ""as he must necessarily pass through a wood, where no Greek would ever remain after the day had closed, upon any consideration. They described it as the resort of the vampyres in their nocturnal orgies, and denounced the most heavy evils as impending upon him who dared to cross their path. Aubrey made light of their representations, and tried to laugh them out of the idea; but when he saw them shudder at his daring thus to mock a superior, the very name of which apparently made their blood freeze, he was silent.""

Having given his promise to Ianthe that he will be back well before evening he sets out very early. The exploration, however, takes longer than he has supposed, and when he turns his horse homeward the darkness is already hurrying on urged by a terrific storm. The steed, alarmed at the battle of the elements dashes off at breakneck pace and only halts trembling and tired before a distant hovel in the heart of a solitary wood. ""As he approached, the thunder, for a moment silent, allowed him to hear the dreadful shrieks of a woman mingling with the stiffled exultant mockery of a laugh, continued in one almost unbroken sound."" With a terrific effort Aubrey burst open the door and rushing into the darkness ""found himself in contact with someone, whom he immediately seized, when a voice cried ""again baffled,"" to which a loud laugh succeeded, and he felt himself grappled by one whose strength seemed superhuman determined to sell his life as dearly as he could, he struggled but it was in vain; he was lifted from his feet and hurled with enormous force against the ground; his enemy threw himself upon him, and kneeling upon his breast, had placed his hand upon his throat, when the glare of many torches penetrating through the hole that gave light in the day, disturbed him--he instantly rose and, leaving his prey, rushed through the door, and in a moment the crashing of the branches, as he broke through the wood was not longer heard."" Several peasants now hastened into the hut bearing flambeaus which illuminate the scene, and to the horror of all there is discovered hard by, the lifeless body of Ianthe. A curious dagger lies near, but her death was not the result of a blow from this weapon. ""There was no colour upon her cheek, not even upon her lip; yet there was a stillness about her face that seemed almost as attaching as the life that once dwelt there:--upon her neck and breast was blood, and upon her throat were the marks of teeth having opened the vein:--to this the men pointed, crying, simultaneously struck with horror, 'a Vampyre, a Vampyre!'"" It appears that Ianthe had followed the traveller to watch over his safety. Aubrey is carried back to the city in a raging fever, and the parents of the unfortunate girl die brokenhearted owing to so terrible a loss.

Whilst Aubrey lies ill Lord Ruthven arrives in Athens and establishing himself in the same house nurses the invalid with such care that past differences are forgotten, since Aubrey not only becomes reconciled to his presence but even seeks his company. Together they travel into the wildest interior of Greece, and here in some mountain pass they are attacked by brigands, from whose guns Lord Ruthven receives a shot in the shoulder. His strength strangely decreasing, a couple of days later it is plain to all that he is at the point of death. He now exacts a terrific oath that his companion shall conceal all that is known of him and that the news of his death shall not be allowed to reach England. ""Swear!"" cried the dying man, ""Swear by all your soul reveres, by all your nature fears, swear that for a year and a day you will not impart your knowledge of my crimes or death to any living being in any way, whatever may happen, or whatever you may see."" Aubrey binds himself most solemnly by the prescribed oath, and in a paroxysm of hideous laughter Ruthven expires.

According to a promise which has been obtained from the robbers by a heavy bribe the body was conveyed to the pinnacle of a neighbouring mount, that it should be exposed to the first cold ray of the moon which rose after his death. Aubrey insists that it shall be interred in the ordinary way, but when he is conducted to the place it is found that the body has disappeared, and in spite of the protestations of the band he is convinced that they have buried the corpse for the sake of the clothes. One circumstance, however, gives Aubrey much food for thought. Among the effects of the deceased he discovered a sheath of most curious pattern and make which exactly fits the dagger that had been found in the deserted hut upon the occasion of Ianthe's death.

Returning to England, as he retraces his journey through Rome to his horror Aubrey discovers that in spite of the precautions he had so carefully taken, Lord Ruthven succeeded only too well in his bad designs and now there is bitter sorrow and distress where once reigned peace and happiness. The lady had not been heard of since the departure of his lordship, and Aubrey instinctively divines that she has ""fallen a victim to the destroyer of Ianthe.""

Upon his arrival in London the traveller is greeted by his sister, whose presentation into society had been delayed until her brother's return from the Continent, when he might be her protector. ""It was now, therefore, resolved that the next drawing room, which was fast approaching, should be the epoch of her entry into the busy scene."" Upon this gay occasion the crowd was excessive, and as Aubrey heedless and distracted is watching the gay throng a voice which he recognizes only too well, whispers in this ear: ""Remember

p. 288

your oath."" Turning he sees Lord Ruthven standing near him. A few nights later at the assembly of a near relation among the crowd of admirers by whom his sister is surrounded--the most prominent of the throng--he again perceives the mysterious and horrible figure. Hurrying forward he seizes his sister's arm and requests her immediately to accompany him home. However, before they have had time to retire again does the voice whisper close to him: ""Remember your oath!""

Aubrey now becomes almost distracted. He sees no remedy against a monster who has already once mocked at death. Even if he were to declare all that he knew it is probable that he would hardly be believed. Whenever he attends a social gathering his looks as he scans the company become so suspicious and strange that he soon acquires a reputation for great eccentricity. As the months go on his loathing and his fears drive him well-nigh to madness, so that eventually a physician is engaged to reside in the house and take charge of him. He is a little consoled by the thought that when the year and the day have passed he will at least be able to unburden his mind and be at any rate freed from his terrible oath. It so happens that he overhears a conversation between the doctor and one of his guardians who enlarges upon the melancholy circumstance of her brother being in so critical a state when Miss Aubrey is to be married on the following day. He instantly demands the name of the bridegroom and is told the Earl of Marsden. He requests to see his sister and in an hour or two she visits him. As they are conversing she opens a locket and shows him a miniature of the man who has won her affections. To his horror he perceives that it is a portrait of Lord Ruthven and falling into convulsions of rage he tramples it under foot. In twenty-four hours the period of his oath will have expired, and he implores them to delay the wedding at least for that time. Since there seems no good reason for doing this the request is disregarded, upon which Aubrey falls into so sad a state of utter depression succeeded by an outburst of fury that the physician concludes him to be not far removed from lunacy and doubles the restraint. During the night the busy preparations for the nuptial are ceaselessly continued. It appears that upon the pretext of being her brother's dearest friend and travelling

p. 289

companion Lord Ruthven had visited the house to inquire after Aubrey during his supposed derangement, and from the character of a visitor gradually insinuated himself into that of an accepted suitor. When the bridal party has assembled Aubrey, neglected by the servants, contrives to make his way into the public apartments which are decorated for the nuptials. Ere he can utter a cry, he is, however, at once perceived by Lord Ruthven who with more than human strength thrusts him, speechless with rage, from the room, at the same time whispering in his ear: ""Remember your oath, and know, if not my bride to-day, your sister is dishonoured. Women are frail!"" The attendants at once secure the unhappy man, but he can no longer support his distress. In his agonies a blood vessel breaks and he is incontinently conveyed to bed. This sad accident is kept from his sister; the marriage was solemnized, and the bride and bridegroom left London.

""Aubrey's weakness increased; the effusion of blood produced symptoms of the near approach of death. He desired his sister's guardians might be called, and when the midnight hour had struck, he related composedly what the reader has perused--he died immediately after.

""The guardians hastened to protect Miss Aubrey; but when they arrived it was too late. Lord Ruthven had disappeared, and Aubrey's sister had glutted the thirst of a Vampyre!""

It were not easy to overestimate the astounding sensation which was caused by this story, and the narrative is certainly not without considerable merit, for in places the eerie atmosphere is well conveyed, Nor is it difficult to understand the extraordinary influence of the tale, since it introduced a tradition which had been long forgotten and which promised infinite possibilities in the way of that sensation and melodramatic calentures which the period craved. The first separate edition of The Vampyre appeared in 1819, and was published by Sherwood. The first issue of this, which is now very rare, contains a certain amount of preliminary matter concerning the Shelleys, Byron and Godwin. This was omitted in later issues, and accordingly one often finds that copies of The Vampyre are described as First Edition, which is strictly quite correct, although they are the Second Issue,

p. 290

and naturally of far less value in a bibliographer's eyes. A large number of reprints increased with amazing rapidity and in the same year the novel was translated into French by Henri Faber, Le Vampire, nouvelle traduite de l'anglais de Lord Byron, Paris, 1819. In February, 1820, there followed under the aegis of Charles Nodier a very obvious imitation, or rather continuation by Cyprien Bérard, Lord Ruthwen ou les Vampires. ""Roman de C. B. Publié par l'auteur de Jean Sbogar et de Thérèse Aubert.[34] Paris, 1820."" In 1825, a new translation of Polidori's story was given by Eusèbe de Salles. Nor was Germany behind hand, for The Vampyre was first translated in 1819: Der Vampyr. Eine Erzahlung aus dem Englischen des Lord Byron. Nebst einer Schilderung seines Aufenthaltes in Mytilene. Leipzig, 1819. In the following year there appeared at Frankfort a version by J. V. Adrian of Byron's poems and prose, wherein was included Der Blutsuger. In a collection of Byron's work the first volume of which was published at Zwickau in 1821, The Vampyre again found a place in volume V (1821), translated by Christian Karl Meifsner as Der Vampyr. The tale has also been included in various other continental collections and translations of Byron's work even until a recent date.

Yet it was well-known all the while that Polidori was the author of the story, but as Byron's was by far the greater name, so this sensational novella must be attributed to the cavaliero whose romantic adventures and the scandal of whose amours were thrilling the whole of Europe. Writing in the same Year as the great poet's death Amédée Pichot of the University of Marseilles in his Essai sur le génie et le caractère de Lord Byron[35] declared that this spurious issue ""a autant contribué à faire connaître le nom de lord Byron en France, que ses poëmes les plus estimés."" Publishers insisted upon Le Vampire, ""nouvelle,"" being included among Byron's works, and it is said that Ladvocat was furious when it was represented to him that since it was openly acknowledged that Polidori had written The Vampire, the translation should properly be no longer given among the poet's work nor put forth under his name.

As might have been expected it was not long before the Vampire appeared upon the stage, and the first play of this kind would seem to be the famous melodrama by Charles

p. 291

Nodier (with Achille Jouffroy and Carmouche) which with music by Alexandre Piccini and scenery by Ciceri, was produced in Paris on 13th June, 1820, at the Théâtre de la Porte-Saint-Martin, whose directors were the popular M. M. Croznier and Merle. The rôle of Lord Rutwen was taken by M. Philippe; the celebrated Madame Dorval was Malvina;[36] and the new play had an extraordinary success.

It was immediately published as Le Vampire, mélodrame en trois actes avec un prologue, Par M. M. . . .; Musique, de M. Alexandre Piccini; Decors de M. Ciceri. This might be purchased at 1 fr. 25cs. ""au magasin général de pièces de Théâtre, Chez J.-N. Barba, Libraire, Palais Royal, derrière le Théâtre Français, No. 51. ""The characters in the Prologue are Ituriel, ange de la Lune, Mlle. Descotte; Oscar, génie des Mariages, M. Moëssard; and Un Vampire, M. Philippe. The scene opens in ""une grotte basaltique,"" the Caledonian caves of Staffa. Oscar and Ituriel discourse of Vampires, and the latter asks: ""Serait-il vrai que d'horribles fantômes viennent quelquefois, sous l'apparence des droits de l'hymen, égorger une vierge timide, et s'abreuver de son sang?"" This is indeed the case, and it is significant that on the morrow Malvina (Miss Aubray) is to wed ""le comte de Marsden."" A vision of the sleeping Malvina appears when ""Un spectre vêtu d'un linceuil s'échappe de la plus apparente de ces tombes"" and rushes upon her. He is swiftly repulsed by Oscar, the good genius and the curtain falls. The characters in the play are: Lord Rutwen, M. Philippe; Sir Aubray, M. Perrin ou Théringy; Malvina, Mad. Dorval; Brigitte, Mad. St. Amand; Edgar, M. Edmon; Scop, M. Pierson; Petterson, M. Dugy; Lovette, Mlle. J. Vertpré; Oscar, M. Moëssard; with attendances of Domestiques and Villageois. The drama to a certain extent adroitly follows the lines of the Polidori novel, but with notable changes, which are well contrived and introduced. Lord Rutwen and Aubray have been fellow travellers, but the latter has no suspicion of Rutwen's real nature. In fact he holds him in the dearest affection since once he was saved from death by his friend who, whilst shielding him from a brigand's attack, fell by a chance shot. When Lord Rutwen arrives to claim Malvina's hand it is with delight Aubray hails his preserver on whom he supposed killed by the bandit's gun. It is cleverly explained how

p. 292

the wound did not after all prove fatal, whereupon ""Rutwen, mes desirs sont remplis"" cries Aubray, ""nous allons être frères"" (Ils s'embrassent). Lovette a farmer's daughter of the Marsden estate is to wed Edgar, and Rutwen graciously presents himself at the marriage feast. As Lord of the Manor he is received with every respect and homage, but he immediately proceeds to attempt Lovette's virtue. Oscar ""un viellard dont la tête vénérable inspire le respect. Sa démarche a quelque chose d'imposant et de mystérieux,"" has already warned the maiden, and she coldly avoids such ardent importunities. Whilst Rutwen is actually pursuing the coy lass who shuns his embrace, Edgar in a fury fires a pistol at the seducer and he falls crying, ""Je meurs."" Aubray hastening to the spot is barely in time to receive him in his arms, and with dying lips Rutwen adjures him to swear the following oath. ""Promets-moi que Malvina ne saura point ce qui m'est arrivé; que tu ne feras rien pour venger ma mort avant que la première heure de la nuit n'ait sonné. Jure-moi le secret sur ce coeur expirant."" Aubray much moved cries, ""Je to le jure,"" and as Rutwen expires they lay the body gently on the ground. ""A`ce moment on voit la lune planer entièrement sur le corps de Rutwen, et éclairer les glaçons de la montagne. La toile tombe.""

Act III. ""représente un grand vestibule gothique, la porte de la chapelle se voit au fond."" Oscar solemnly utters words of warning to Brigitte, who is already full of fears which are not unnoticed by Malvina. When Aubray meets his sister she speaks joyfully of her marriage but as he is about to tell her of the fatal happening suddenly Rutwen appears and seizing his arm ""lui dit d'une voix sombre: 'Songe à ton serment'!"" Aubray now realizes that there is some horrid secret and displays violent emotion crying out in broken tones: ""Eloigne-toi fantôme! . . ma soeur . . . dérobe-toi, aux poursuites de ce monstre . . . il te dira qu'il est ton époux . . . refuse ton serment . . . cet hymen est un crime"" At length he is carried off by the servants who fear that he has lost his senses, an idea Rutwen encourages. In spite of this disorder the bridegroom now hotly presses on the nuptials; the great doors are opened ""et laisse voir la chapelle éclairée,"" Rutwen and Malvina approach the altar. With a wild cry Aubray rushes in to intercept the ceremony,

p. 293

upon which the monster drawing his dagger is about to plunge it deep into Malvina's heart when one o'clock strikes,--his power is gone."" Il laisse tomber son poignard et cherche & s'enfuir, des ombres sortent de la terre et l'entraînent avec elles; l'Ange exterminateur paraît dans un nuage, la foudre éclate et les Ombres s'engloutissent avec Rutwen. Pluie de feu. TABLEAU GÉNÉRAL.""

The dialogue of this melodrama is spirited, the situations striking and well managed, and even in reading the play, one can clearly visualize that upon the stage it must have been extraordinarily effective, especially when set off with all the attractions of the scene painter's glowing perspectives, the magic craft of the subtle machinist, and the richest adornment of romantic costume.[37] Even before he had introduced the Vampire on to the boards Nodier had prophesied that this macabre monster would win a veritable triumph, and his prediction was amply fulfilled. ""Le Vampire épouvantera, de son horrible amour, les songes de toutes les femmes, et bientôt sans doute, ce monstre encore exhumé prêtera son masque immobile, sa voix sépulcrale, son oeil d'un gris mort, . . . tout cet attirail de mélodrame à la Melpomène des boulevards; et quel succès alors ne lui est pas réservé!""[38] On 1st July, 1819, writing in the Drapeau Blanc he was far more serious and far more emphatic: ""La fable du vampire est peut-être la plus universelle de nos superstitions. . . Elle a partout l'autorité de la tradition: elle ne manque ni de celle de la théologie ni do celle de la, médicine. La philosophie même en a parlé.""

All Paris flocked to see Le Vampire, and nightly the Porte-Saint-Martin was packed to the doors. Philippe and Madame Dorval were applauded to the echo by enthusiastic audiences who recalled them again and again after the final tableau. Even the book of the play had an immense circulation and every morning Barba's counter was freshly stocked with huge piles of the duodecimo, which rapidly diminished during the day.

Not a few critics, however, adopted a very uncompromising attitude, and were unsparing in their condemnation of so popular a melodrama. In Les Lettres Normandes, 1820, (tome XI, p. 93) Le Vampire was thus noticed: ""Le mélodrame du Vampire dans lequel on voit paraître un monstre

p. 294

qui suce le sang des petites filles et qui offre des Tableaux qu'une honnête femme ne pout voir sans rougir, est l'ouvrage de MM. Ch. Nodier, rédacteur du Drapeau Blanc; Achille Jouffroy, rédacteur de La Gazette et auteur des Festes de l'anarchie; et Carmouche autre rédacteur du Drapeau Blanc."" This censure is, however, wholly inspired by political feeling which thus inveighed against the royalist Nodier, and which not unmingled with green jealousy we also find prominent in the Conservateur littéraire of April, 1820 (Tome II, p. 245) where we had: ""Pour balancer le succès du Vampire mélodrame dégoûtant et si monstreux que les auteurs MM. Ch. Nodier et Carmouche m'ont pas osé se faire connaître, le théâtre de la Porte-Saint-Martin se prépare à représenter la traduction littérale, en prose, de la Marie Stuart de Schiller.""

Yet another critic is even more trenchant and severe: ""Le Vampire Ruthwen veut violer ou sucer dans les coulisses une jeune fiancée qui fuit devant lui sur le théâtre: cette situation est-elle morale? . . . Toute la pièce représente indirectement Dieu comme un être faible ou odieux qui abandonne le monde aux génies de l'enfer.""[39]

